AYEL01088867.1:40602-40731(+)	68.75
AYEL01067154.1:19657-19785(+)	87.50
AYEL01074725.1:13857-14002(+)	79.69
AYEL01065492.1:29653-29782(+)	88.19
AYEL01022746.1:307-433(-)	89.60
AYEL01080600.1:60-189(-)	84.50
AYEL01064751.1:19014-19145(-)	82.76
AYEL01079261.1:4563-4694(-)	91.54
AYEL01079042.1:8110-8253(+)	78.99
AYEL01091894.1:42690-42871(+)	82.08
AYEL01072114.1:98534-98644(-)	70.64
AYEL01027677.1:82391-82521(+)	89.23
AYEL01086979.1:43034-43165(+)	83.08
AYEL01006437.1:55569-55697(-)	89.84
AYEL01029381.1:134120-134230(-)	74.07
AYEL01082390.1:11722-11854(-)	90.77
AYEL01090185.1:8756-8886(+)	93.08
AYEL01042340.1:384-513(-)	84.38
AYEL01091653.1:81988-82118(+)	89.84
AYEL01074716.1:6368-6528(+)	82.73
AYEL01010715.1:1539-1656(+)	92.92
AYEL01032536.1:1-146(-)	82.17
AYEL01075362.1:31139-31261(-)	89.34
AYEL01068284.1:14769-14874(-)	63.46
AYEL01071395.1:259-380(-)	93.48
AYEL01041914.1:48865-48998(+)	95.38
AYEL01068153.1:47948-48079(+)	95.31
AYEL01082390.1:10915-11033(+)	88.98
AYEL01081628.1:45707-45813(+)	88.68
AYEL01065200.1:15719-15851(+)	96.12
AYEL01071006.1:123374-123484(-)	94.55
AYEL01090290.1:33791-33926(+)	79.84
AYEL01048778.1:10515-10645(+)	88.46
AYEL01077504.1:29498-29628(+)	92.06
AYEL01076290.1:40558-40689(+)	92.31
AYEL01062661.1:44738-44863(-)	95.83
AYEL01056071.1:8683-8828(+)	79.69
AYEL01077876.1:41187-41317(+)	91.54
AYEL01078809.1:26679-26789(-)	84.16
AYEL01068175.1:13505-13632(+)	86.61
AYEL01053536.1:0-131(-)	84.92
AYEL01065200.1:16379-16513(-)	95.31
AYEL01047723.1:1263-1393(+)	84.62
AYEL01089860.1:94462-94590(+)	87.50
AYEL01059719.1:31799-31929(+)	88.19
AYEL01077686.1:30417-30522(+)	85.71
AYEL01034014.1:286-419(-)	89.23
AYEL01089526.1:15014-15142(+)	93.70
AYEL01089845.1:61747-61867(+)	84.17
AYEL01086216.1:10684-10816(-)	83.21
AYEL01073402.1:2209-2338(-)	89.92
AYEL01063677.1:53682-53809(-)	92.91
AYEL01016684.1:1018-1152(+)	80.87
AYEL01080683.1:70731-70865(-)	89.15
AYEL01077611.1:22478-22597(-)	83.05
AYEL01078090.1:43068-43194(+)	90.48
AYEL01077348.1:64116-64245(+)	87.60
AYEL01073965.1:67910-68015(+)	83.81
AYEL01059762.1:59110-59244(-)	92.31
AYEL01090980.1:16626-16756(-)	80.77
AYEL01087981.1:874-1001(-)	85.04
AYEL01082887.1:14580-14692(-)	70.00
AYEL01071844.1:197-329(-)	83.85
AYEL01081180.1:14506-14639(+)	89.15
AYEL01088535.1:17905-18034(+)	86.82
AYEL01090150.1:239-349(-)	74.07
AYEL01050751.1:21255-21386(-)	83.85
AYEL01088322.1:1077-1206(+)	88.37
AYEL01065854.1:10393-10518(+)	85.60
AYEL01087497.1:83521-83650(-)	88.37
AYEL01074794.1:15733-15864(+)	89.23
AYEL01054058.1:40808-40939(+)	87.60
AYEL01084557.1:235-363(-)	86.51
AYEL01066906.1:0-128(-)	93.28
AYEL01089278.1:29987-30106(-)	87.64
AYEL01078844.1:2850-2985(-)	95.38
AYEL01089308.1:4118-4246(-)	87.10
AYEL01089115.1:86076-86202(-)	87.90
AYEL01075373.1:14750-14878(+)	88.28
AYEL01081459.1:21194-21304(-)	93.98
AYEL01056071.1:8830-8947(+)	80.34
AYEL01069871.1:23068-23199(+)	80.77
AYEL01080106.1:14842-14975(+)	95.38
AYEL01086059.1:17511-17656(+)	79.69
AYEL01075465.1:2139-2284(+)	79.69
AYEL01080473.1:51323-51454(+)	81.54
AYEL01060154.1:4414-4548(-)	88.46
AYEL01080451.1:32073-32189(+)	69.57
AYEL01085003.1:23014-23146(+)	63.57
AYEL01076952.1:35047-35171(-)	95.08
AYEL01086434.1:28183-28310(-)	64.46
AYEL01091639.1:25320-25440(+)	90.99
AYEL01072991.1:3542-3665(-)	90.24
AYEL01091028.1:1111-1240(+)	89.15
AYEL01081626.1:480-602(-)	88.03
AYEL01084448.1:2591-2718(-)	88.19
AYEL01073907.1:201-331(-)	82.31
AYEL01086110.1:24372-24494(-)	84.43
AYEL01075748.1:51974-52096(+)	85.12
AYEL01063225.1:9305-9433(+)	90.40
AYEL01066790.1:71388-71503(-)	80.87
AYEL01074057.1:76751-76881(+)	82.31
AYEL01059715.1:38315-38444(-)	89.15
AYEL01066427.1:0-121(-)	81.67
AYEL01081121.1:23044-23156(+)	89.29
AYEL01068590.1:356-486(-)	90.00
AYEL01091163.1:27269-27405(+)	96.15
AYEL01072532.1:5799-5931(-)	87.69
AYEL01015937.1:27224-27345(-)	83.70
AYEL01051307.1:31873-32002(+)	87.60
AYEL01086979.1:43694-43825(-)	87.02
AYEL01066093.1:348-479(-)	84.73
AYEL01087832.1:258-505(-)	77.08
AYEL01087070.1:41501-41632(-)	93.39
AYEL01081387.1:2193-2352(+)	86.92
AYEL01082390.1:62-199(-)	89.31
AYEL01062760.1:6-132(-)	67.24
AYEL01061680.1:24874-24985(-)	72.48
AYEL01076002.1:1503-1636(-)	94.62
AYEL01077215.1:69914-70045(+)	86.26
AYEL01054804.1:28172-28307(-)	95.38
AYEL01080948.1:49290-49410(+)	85.00
AYEL01061402.1:68586-68716(+)	90.00
AYEL01082016.1:69822-69945(+)	86.78
AYEL01081625.1:878-998(+)	94.78
AYEL01071032.1:2295-2408(+)	76.11
AYEL01077559.1:39458-39583(+)	87.10
AYEL01084441.1:13990-14121(+)	91.54
AYEL01018865.1:4547-4680(+)	93.85
AYEL01042711.1:20016-20153(-)	96.85
AYEL01081625.1:674-819(+)	79.69
AYEL01047611.1:8495-8610(+)	91.15
AYEL01065526.1:24255-24383(+)	85.16
AYEL01080603.1:54002-54107(-)	89.69
AYEL01078574.1:443-568(-)	90.40
AYEL01063666.1:288-417(-)	82.17
AYEL01079877.1:4407-4536(+)	84.50
AYEL01067568.1:51323-51464(+)	84.62
AYEL01067751.1:20608-20743(-)	94.62
AYEL01064725.1:48394-48498(+)	64.08
AYEL01023410.1:211-340(-)	91.47
AYEL01072085.1:18194-18339(+)	79.69
AYEL01084201.1:135560-135682(+)	88.43
AYEL01081377.1:250-414(-)	91.34
AYEL01065755.1:80348-80475(-)	84.25
AYEL01028454.1:30332-30440(-)	91.92
AYEL01023169.1:335-461(+)	84.43
AYEL01064111.1:26548-26678(-)	83.72
AYEL01090198.1:21122-21254(-)	87.90
AYEL01080526.1:4766-4896(+)	91.54
AYEL01085356.1:13904-14031(+)	82.50
AYEL01088813.1:248666-248799(+)	91.54
AYEL01074696.1:17662-17794(+)	87.69
AYEL01086495.1:8669-8800(-)	92.37
AYEL01081555.1:32-160(-)	88.28
AYEL01074556.1:49266-49411(+)	79.69
AYEL01055964.1:2-133(-)	86.92
AYEL01078403.1:4702-4818(-)	70.43
AYEL01086927.1:0-123(-)	92.17
AYEL01075986.1:16221-16347(+)	85.71
AYEL01061321.1:48427-48553(+)	86.99
AYEL01070671.1:6506-6630(+)	85.48
AYEL01084309.1:5674-5803(-)	69.53
AYEL01080432.1:7389-7523(-)	91.47
AYEL01073801.1:9398-9536(-)	95.38
